% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 13.87    0.009810         119        82           mmap
 12.92    0.009137         157        58           read
 10.12    0.007154         119        60        15 openat
  8.16    0.005768         180        32           write
  7.44    0.005260         103        51           close
  7.25    0.005125         102        50           fstat
  5.47    0.003865         124        31           ioctl
  5.00    0.003536         147        24           getpid
  3.74    0.002648         105        25           getpgrp
  3.29    0.002324         116        20           mprotect
  3.16    0.002233          97        23           futex
  2.60    0.001841         131        14         7 stat
  2.57    0.001820         107        17           rt_sigaction
  2.00    0.001413         141        10           setitimer
  1.72    0.001216         152         8           pread64
  1.43    0.001011         144         7           socket
  1.33    0.000944         157         6           rt_sigprocmask
  1.28    0.000906         151         6         3 connect
  0.83    0.000590         196         3           select
  0.80    0.000566         188         3           poll
  0.72    0.000509         101         5           brk
  0.72    0.000507         169         3           recvmsg
  0.48    0.000336         112         3           munmap
  0.33    0.000231          57         4           lseek
  0.32    0.000223         111         2           getsockname
  0.29    0.000206         103         2           recvfrom
  0.28    0.000201         201         1           bind
  0.23    0.000166          83         2           getuid
  0.18    0.000124         124         1           sendmmsg
  0.17    0.000119         119         1           setsockopt
  0.16    0.000112         112         1           sendto
  0.15    0.000104         104         1           uname
  0.14    0.000102         102         1           getrandom
  0.13    0.000091          91         1           statfs
  0.13    0.000089          89         1           set_robust_list
  0.12    0.000088          88         1           sysinfo
  0.12    0.000087          87         1           prlimit64
  0.12    0.000086          86         1           set_tid_address
  0.12    0.000085          85         1           getgroups
  0.12    0.000083          41         2         1 arch_prctl
  0.00    0.000000           0         1         1 access
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         1           flock
  0.00    0.000000           0         1           ftruncate
  0.00    0.000000           0         1           utime
------ ----------- ----------- --------- --------- ----------------
100.00    0.070716                   570        27 total
